sample	apseRegions	apseMeanDepth	samePhageDuplicate	toxinFamilies	toxinsInReadsOnly	apse_per_kb	apsePattern	chromMeanDepth	chrom_per_kb	chromPattern	APSE_verdict	strain_verdict	power
S01	3	648.7	yes	RHS	none	0.00	clean	32.5	0.05	clustered	single_APSE	single_strain	adequate
S02	1	167.2	no	LEUCINERICH	none	0.00	clean	15.7	0.03	clustered	single_APSE	insufficient_power	LIMITED
S03	1	377.1	no	CDTB	none	0.00	clean	8.0	0.28	clustered	single_APSE	insufficient_power	LIMITED
S04	3	918.9	yes	CDTB	none	0.00	clean	62.9	0.01	clustered	single_APSE	single_strain	adequate
S05	2	783.4	no	CDTB,RHS	none	0.09	clustered	12.9	0.13	clustered	MULTIPLE_APSE_distinct_toxins	insufficient_power	LIMITED
S06	3	96.4	yes	RHS	none	0.00	clean	97.0	0.00	clustered	single_APSE	single_strain	adequate
S07	3	1720.5	no	CDTB,RHS	none	2.99	DISPERSED	33.8	0.19	clustered	MULTIPLE_APSE_distinct_toxins	single_strain	adequate
S08	1	173.0	no	MAC	none	0.00	clean	6.2	0.00	clean	single_APSE	insufficient_power	LIMITED
S09	1	167.0	no	SHIGA	none	0.00	clean	4.4	0.00	clean	single_APSE	insufficient_power	LIMITED
S10	1	10.2	no	MAC	none	0.00	clean	14.3	0.02	clustered	insufficient_power	insufficient_power	LIMITED
S11	1	50.5	no	RHS	none	0.00	clean	50.6	0.00	clean	single_APSE	single_strain	adequate
S12	3	997.3	yes	CDTB	none	0.00	clean	58.0	0.23	clustered	single_APSE	single_strain	adequate
S13	3	800.3	yes	CDTB	none	0.00	clean	21.9	0.00	clean	single_APSE	insufficient_power	LIMITED
S14	1	15.3	no	MAC	none	0.00	clean	17.8	0.48	clustered	insufficient_power	insufficient_power	LIMITED
