sample	region	meanDepth	sitesTested	discordantSites	per_kb	occupancy	pattern
S01	APSE	648.7	49151	0	0.00	0.0000	clean
S01	chromosome	32.5	1921613	91	0.05	0.0016	clustered
S01	other	29.1	321672	0	0.00	0.0000	clean
S02	APSE	167.2	40828	0	0.00	0.0000	clean
S02	chromosome	15.7	1560421	48	0.03	0.0077	clustered
S02	other	10.7	174809	1291	7.39	0.0744	clustered
S03	APSE	377.1	33555	0	0.00	0.0000	clean
S03	chromosome	8.0	412211	116	0.28	0.0073	clustered
S03	other	8.4	128109	778	6.07	0.2108	DISPERSED
S04	APSE	918.9	49138	0	0.00	0.0000	clean
S04	chromosome	62.9	2066483	30	0.01	0.0005	clustered
S04	other	37.9	40113	0	0.00	0.0000	clean
S05	APSE	783.4	56341	5	0.09	0.0177	clustered
S05	chromosome	12.9	1440519	192	0.13	0.0049	clustered
S05	other	25.2	270146	963	3.56	0.0888	clustered
S06	APSE	96.4	51414	0	0.00	0.0000	clean
S06	chromosome	97.0	1918417	1	0.00	0.0005	clustered
S06	other	91.2	322040	416	1.29	0.0217	clustered
S07	APSE	1720.5	67196	201	2.99	0.2232	DISPERSED
S07	chromosome	33.8	2065326	387	0.19	0.0058	clustered
S07	other	102.8	149710	1	0.01	0.0067	clustered
S08	APSE	173.0	37062	0	0.00	0.0000	clean
S08	chromosome	6.2	68903	0	0.00	0.0000	clean
S08	other	6.6	192358	1036	5.39	0.0936	clustered
S09	APSE	167.0	36885	0	0.00	0.0000	clean
S09	chromosome	4.4	13699	0	0.00	0.0000	clean
S09	other	4.5	36346	851	23.41	0.4402	DISPERSED
S10	APSE	10.2	10273	0	0.00	0.0000	clean
S10	chromosome	14.3	1711180	31	0.02	0.0023	clustered
S10	other	25.8	175306	0	0.00	0.0000	clean
S11	APSE	50.5	40600	0	0.00	0.0000	clean
S11	chromosome	50.6	2070212	0	0.00	0.0000	clean
S11	other	84.8	110576	0	0.00	0.0000	clean
S12	APSE	997.3	47760	0	0.00	0.0000	clean
S12	chromosome	58.0	2070263	486	0.23	0.0058	clustered
S12	other	149.9	113847	0	0.00	0.0000	clean
S13	APSE	800.3	43067	0	0.00	0.0000	clean
S13	chromosome	21.9	2046606	0	0.00	0.0000	clean
S13	other	15.3	40076	0	0.00	0.0000	clean
S14	APSE	15.3	15250	0	0.00	0.0000	clean
S14	chromosome	17.8	1804999	870	0.48	0.0094	clustered
S14	other	30.2	174918	3	0.02	0.0057	clustered
