sampleID	strainID	bases	contigs	meanContigLength	largestContig	smallestContig	N50	L50	Complete BUSCOs (C)	Single-copy BUSCOs (S)	Duplicated BUSCOs (D)	Fragmented BUSCOs (F)	Missing BUSCOs (M)	Total BUSCO groups (n)	BUSCO %
S01	H15	2290146	7	327163.71428571426	1968083	12032	1968083	1	413	409	4	3	24	440	93.86363636363636
S02	H16	2008890	13	154530.0	1150584	17629	1150584	1	359	357	2	8	73	440	81.5909090909091
S03	H28	1940796	17	114164.4705882353	534713	14633	223302	3	331	329	2	11	98	440	75.22727272727273
S04	H42	2151406	2	1075703.0	2111329	40077	2111329	1	411	409	2	5	24	440	93.4090909090909
S05	H76	2255398	12	187949.83333333334	850481	16754	428393	2	397	396	1	4	39	440	90.22727272727273
S06	H85	2294161	7	327737.28571428574	1972121	12010	1972121	1	413	407	6	3	24	440	93.86363636363636
S07	H101	2287822	4	571955.5	2144657	31557	2144657	1	412	411	1	4	24	440	93.63636363636364
S08	H103	2059977	30	68665.9	185852	15368	76607	9	374	370	4	12	54	440	85.0
S09	H131	1749103	42	41645.30952380953	150278	10782	52629	12	282	282	0	13	145	440	64.0909090909091
S10	H191	2222138	5	444427.6	2042160	12032	2042160	1	414	413	1	2	24	440	94.0909090909091
S11	H214	2231478	6	371913.0	1984542	2960	1984542	1	411	407	4	3	26	440	93.4090909090909
S12	H244	2218914	4	554728.5	2105096	26045	2105096	1	412	412	0	4	24	440	93.63636363636364
S13	H402	2151954	2	1075977.0	2111877	40077	2111877	1	411	407	4	5	24	440	93.4090909090909
S14	H619	2114432	8	264304.0	1634175	17976	1634175	1	380	379	1	2	58	440	86.36363636363636
