sample	contig	length_bp	mean_depth
S01	contig_01	1968083	58.3
S01	contig_06	82412	24.2
S01	contig_08	78251	19.1
S01	contig_03	68560	46.7
S01	contig_09	49165	24.9
S01	contig_07	31643	35.6
S01	contig_05	12032	32.9
S02	contig_11	1150584	15.5
S02	contig_05	366167	17.2
S02	contig_01	164507	14.7
S02	contig_10	54237	14.1
S02	contig_07	43999	9.9
S02	contig_13	40864	168.4
S02	contig_08	39268	9.2
S02	contig_14	34751	13.1
S02	contig_12	27144	7.7
S02	contig_04	26121	9.4
S02	contig_09	23813	6.0
S02	contig_03	19806	9.8
S02	contig_02	17629	5.9
S02	contig_06	12126	60.3
S03	contig_16	534713	8.7
S03	contig_18	259100	8.4
S03	contig_21	223302	67.3
S03	contig_19	179609	7.0
S03	contig_03	154738	6.8
S03	contig_04	113231	7.0
S03	contig_01	96454	6.8
S03	contig_17	64754	8.2
S03	contig_20	61540	8.1
S03	contig_02	58777	8.0
S03	contig_05	47246	6.0
S03	contig_08	40857	4.6
S03	contig_07	28630	8.4
S03	contig_06	27685	8.4
S03	contig_11	18871	4.7
S03	contig_14	16656	4.2
S03	contig_09	14633	3.3
S03	contig_12	11335	22.1
S03	contig_10	11184	17.7
S03	contig_15	10603	3.3
S03	contig_13	10082	10.3
S04	contig_01	2111329	98.7
S04	contig_04	40077	38.3
S05	contig_11	850481	60.4
S05	contig_01	428393	12.6
S05	contig_09	272758	13.6
S05	contig_02	249175	29.8
S05	contig_10	156002	11.2
S05	contig_19	73402	34.4
S05	contig_07	54959	9.4
S05	contig_08	46796	58.7
S05	contig_13	39266	11.1
S05	contig_21	35855	15.8
S05	contig_20	31557	21.5
S05	contig_06	16754	7.5
S05	contig_17	10312	31.7
S05	contig_16	8342	13.6
S05	contig_15	7303	12.4
S06	contig_01	1972121	100.1
S06	contig_08	82411	71.5
S06	contig_04	78251	86.6
S06	contig_05	68560	143.6
S06	contig_07	49165	64.3
S06	contig_09	31643	90.1
S06	contig_03	12010	88.3
S07	contig_02	2144657	96.9
S07	contig_07	75753	67.1
S07	contig_09	35855	42.6
S07	contig_08	31557	52.8
S08	contig_23	185852	6.2
S08	contig_22	140021	6.1
S08	contig_26	133581	7.5
S08	contig_05	121076	6.5
S08	contig_28	113721	6.0
S08	contig_10	107973	5.8
S08	contig_11	102111	5.8
S08	contig_01	85455	7.6
S08	contig_18	76607	5.9
S08	contig_15	75104	5.5
S08	contig_08	73915	4.9
S08	contig_25	71737	7.0
S08	contig_13	70618	5.8
S08	contig_16	63695	6.1
S08	contig_12	62699	5.3
S08	contig_30	62427	4.8
S08	contig_07	59248	6.6
S08	contig_31	58431	13.3
S08	contig_24	55902	4.9
S08	contig_04	53929	6.3
S08	contig_19	42007	6.6
S08	contig_02	38216	5.9
S08	contig_27	37098	174.5
S08	contig_09	34430	5.9
S08	contig_29	31472	8.9
S08	contig_06	24483	6.5
S08	contig_03	24085	5.8
S08	contig_17	20641	7.0
S08	contig_20	18075	3.3
S08	contig_14	15368	5.3
S08	contig_21	11121	41.3
S09	contig_19	150278	5.3
S09	contig_16	127268	3.5
S09	contig_40	76489	5.5
S09	contig_02	70465	3.5
S09	contig_14	69711	6.5
S09	contig_23	59973	4.7
S09	contig_33	58014	3.5
S09	contig_18	57427	4.0
S09	contig_06	56466	5.1
S09	contig_15	56316	5.3
S09	contig_20	55119	4.3
S09	contig_24	52629	4.4
S09	contig_38	51578	5.5
S09	contig_08	49299	4.0
S09	contig_04	47019	4.0
S09	contig_01	44915	3.6
S09	contig_17	43814	3.5
S09	contig_11	43470	3.5
S09	contig_13	38277	3.3
S09	contig_43	36922	168.5
S09	contig_22	35435	5.2
S09	contig_37	33170	4.2
S09	contig_41	31515	4.8
S09	contig_31	31409	4.5
S09	contig_42	31405	6.6
S09	contig_03	31314	3.7
S09	contig_39	30213	4.5
S09	contig_27	28086	3.9
S09	contig_12	25631	6.0
S09	contig_05	24964	3.7
S09	contig_29	24845	4.0
S09	contig_32	23104	3.2
S09	contig_34	22923	4.6
S09	contig_26	22166	3.4
S09	contig_07	21523	4.2
S09	contig_30	14945	3.2
S09	contig_09	13357	4.6
S09	contig_21	12795	3.2
S09	contig_25	11595	4.2
S09	contig_35	11332	4.4
S09	contig_28	11145	2.9
S09	contig_10	10782	3.1
S09	contig_36	8850	20.3
S10	contig_01	2042160	14.4
S10	contig_07	57488	31.9
S10	contig_10	57157	22.3
S10	contig_08	53301	27.2
S10	contig_04	12032	17.1
S11	contig_03	1984542	47.9
S11	contig_02	136360	95.7
S11	contig_05	67166	49.8
S11	contig_04	28430	187.4
S11	contig_06	12020	37.0
S11	contig_01	2960	109.7
S12	contig_01	2105096	90.6
S12	contig_05	56390	117.9
S12	contig_06	31383	76.3
S12	contig_04	26045	318.1
S13	contig_01	2111877	46.0
S13	contig_03	40077	15.4
S14	contig_01	1634175	18.2
S14	contig_06	145484	17.7
S14	contig_07	123912	15.4
S14	contig_03	58258	24.2
S14	contig_08	57500	38.7
S14	contig_04	57327	38.6
S14	contig_02	19800	13.4
S14	contig_05	17976	9.9
