sample	toxin	family	in_assembly_pct	in_reads_breadth_pct	in_reads_meanDepth	call
S01	S01_RHS	RHS	99.7	100	539.832	present_both
S01	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S01	S03_CdtB	CDTB	0.0	0	0	absent
S01	S04_CdtB	CDTB	0.0	0	0	absent
S01	S05_RHS	RHS	86.6	0	0	assembly_only
S01	S06_RHS	RHS	99.7	100	537.817	present_both
S01	S07_cdtB	CDTB	0.0	0	0	absent
S01	S08_MAC	MAC	0.0	0	0	absent
S01	S09_Shiga	SHIGA	0.0	0	0	absent
S01	S10_MAC	MAC	0.0	0	0	absent
S01	S11_RHS	RHS	62.7	0	0	absent
S01	S12_CdtB	CDTB	0.0	0	0	absent
S01	S13_CdtB	CDTB	0.0	0	0	absent
S01	S14_MAC_FirstPart	MAC	0.0	0	0	absent
S01	S14_MAC_SecondPart	MAC	0.0	0	0	absent
S02	S01_RHS	RHS	0.0	0	0	absent
S02	S02_LeucineRich	LEUCINERICH	99.7	100	150.035	present_both
S02	S03_CdtB	CDTB	0.0	0	0	absent
S02	S04_CdtB	CDTB	0.0	0	0	absent
S02	S05_RHS	RHS	0.0	0	0	absent
S02	S06_RHS	RHS	0.0	0	0	absent
S02	S07_cdtB	CDTB	0.0	0	0	absent
S02	S08_MAC	MAC	0.0	0	0	absent
S02	S09_Shiga	SHIGA	0.0	0	0	absent
S02	S10_MAC	MAC	0.0	0	0	absent
S02	S11_RHS	RHS	0.0	0	0	absent
S02	S12_CdtB	CDTB	0.0	0	0	absent
S02	S13_CdtB	CDTB	0.0	0	0	absent
S02	S14_MAC_FirstPart	MAC	0.0	0	0	absent
S02	S14_MAC_SecondPart	MAC	0.0	0	0	absent
S03	S01_RHS	RHS	0.0	0	0	absent
S03	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S03	S03_CdtB	CDTB	98.6	100	121.701	present_both
S03	S04_CdtB	CDTB	98.6	100	112.31	present_both
S03	S05_RHS	RHS	0.0	0	0	absent
S03	S06_RHS	RHS	0.0	0	0	absent
S03	S07_cdtB	CDTB	0.0	0	0	absent
S03	S08_MAC	MAC	0.0	0	0	absent
S03	S09_Shiga	SHIGA	0.0	0	0	absent
S03	S10_MAC	MAC	0.0	0	0	absent
S03	S11_RHS	RHS	0.0	0	0	absent
S03	S12_CdtB	CDTB	0.0	0	0	absent
S03	S13_CdtB	CDTB	98.6	100	121.227	present_both
S03	S14_MAC_FirstPart	MAC	0.0	0	0	absent
S03	S14_MAC_SecondPart	MAC	0.0	0	0	absent
S04	S01_RHS	RHS	0.0	0	0	absent
S04	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S04	S03_CdtB	CDTB	98.6	100	686.383	present_both
S04	S04_CdtB	CDTB	98.6	100	719.906	present_both
S04	S05_RHS	RHS	0.0	0	0	absent
S04	S06_RHS	RHS	0.0	0	0	absent
S04	S07_cdtB	CDTB	0.0	0	0	absent
S04	S08_MAC	MAC	0.0	0	0	absent
S04	S09_Shiga	SHIGA	0.0	0	0	absent
S04	S10_MAC	MAC	0.0	0	0	absent
S04	S11_RHS	RHS	0.0	0	0	absent
S04	S12_CdtB	CDTB	0.0	0	0	absent
S04	S13_CdtB	CDTB	98.6	100	711.379	present_both
S04	S14_MAC_FirstPart	MAC	0.0	0	0	absent
S04	S14_MAC_SecondPart	MAC	0.0	0	0	absent
S05	S01_RHS	RHS	86.1	0	0	assembly_only
S05	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S05	S03_CdtB	CDTB	0.0	0	0	absent
S05	S04_CdtB	CDTB	0.0	0	0	absent
S05	S05_RHS	RHS	99.8	100	864.373	present_both
S05	S06_RHS	RHS	86.1	0	0	assembly_only
S05	S07_cdtB	CDTB	99.0	100	110.153	present_both
S05	S08_MAC	MAC	0.0	0	0	absent
S05	S09_Shiga	SHIGA	0.0	0	0	absent
S05	S10_MAC	MAC	0.0	0	0	absent
S05	S11_RHS	RHS	81.8	0	0	assembly_only
S05	S12_CdtB	CDTB	99.0	81.0838	4.11452	assembly_only
S05	S13_CdtB	CDTB	0.0	0	0	absent
S05	S14_MAC_FirstPart	MAC	0.0	0	0	absent
S05	S14_MAC_SecondPart	MAC	0.0	0	0	absent
S06	S01_RHS	RHS	99.7	100	98.5932	present_both
S06	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S06	S03_CdtB	CDTB	0.0	0	0	absent
S06	S04_CdtB	CDTB	0.0	0	0	absent
S06	S05_RHS	RHS	86.6	0	0	assembly_only
S06	S06_RHS	RHS	99.7	100	97.4875	present_both
S06	S07_cdtB	CDTB	0.0	0	0	absent
S06	S08_MAC	MAC	0.0	0	0	absent
S06	S09_Shiga	SHIGA	0.0	0	0	absent
S06	S10_MAC	MAC	0.0	0	0	absent
S06	S11_RHS	RHS	62.7	0	0	absent
S06	S12_CdtB	CDTB	0.0	0	0	absent
S06	S13_CdtB	CDTB	0.0	0	0	absent
S06	S14_MAC_FirstPart	MAC	0.0	0	0	absent
S06	S14_MAC_SecondPart	MAC	0.0	0	0	absent
S07	S01_RHS	RHS	86.1	0	0	assembly_only
S07	S02_LeucineRich	LEUCINERICH	0.0	0	0	absent
S07	S03_CdtB	CDTB	0.0	0	0	absent
S07	S04_CdtB	CDTB	0.0	0	0	absent
S07	S05_RHS	RHS	99.8	100	1887.88	present_both
S07	S06_RHS	RHS	86.1	0	0	assembly_only
S07	S07_cdtB	CDTB	99.0	100	1087.44	present_both
S07	S08_MAC	MAC	0.0	0	0	absent
S07	S09_Shiga	SHIGA	0.0	0	0	absent
S07	S10_MAC	MAC	0.0	0	0	absent
S07	S11_RHS	RHS	81.8	0	0	assembly_only
