sample	contig	length_bp	mean_depth	best_step_position	left_depth	right_depth	step_ratio	verdict
S01	contig_03	68560	46.7	52000	43.8	56.6	1.29	flat
S01	contig_06	82412	24.2	59000	22.2	28.3	1.28	flat
S01	contig_07	31643	35.6	12000	44.4	32.5	1.36	flat
S01	contig_08	78251	19.1	30000	23.8	16.5	1.44	flat
S01	contig_09	49165	24.9	19000	19.4	28.0	1.45	flat
S02	contig_01	164507	14.7	156000	15.2	7.1	2.15	possible fusion - inspect
S02	contig_10	54237	14.1	41000	15.3	8.5	1.79	possible fusion - inspect
S02	contig_12	27144	7.7	19000	9.6	2.5	3.78	possible fusion - inspect
S02	contig_13	40864	168.4	15000	187.1	159.2	1.18	flat
S02	contig_14	34751	13.1	19000	10.1	15.7	1.56	possible fusion - inspect
S02	contig_02	17629	5.9	9000	10.5	5.2	2.01	possible fusion - inspect
S02	contig_03	19806	9.8	11000	16.1	12.5	1.29	flat
S02	contig_04	26121	9.4	16000	10.2	12.8	1.25	flat
S02	contig_07	43999	9.9	7000	9.1	12.0	1.32	flat
S02	contig_08	39268	9.2	7000	6.9	11.4	1.66	possible fusion - inspect
S02	contig_09	23813	6.0	7000	4.8	9.0	1.86	possible fusion - inspect
S03	contig_01	96454	6.8	60000	6.3	8.9	1.42	flat
S03	contig_11	18871	4.7	7000	5.6	7.3	1.30	flat
S03	contig_14	16656	4.2	7000	3.8	7.0	1.82	possible fusion - inspect
S03	contig_17	64754	8.1	7000	3.6	9.3	2.57	possible fusion - inspect
S03	contig_19	179609	7.0	29000	9.6	6.9	1.40	flat
S03	contig_02	58777	8.1	7000	5.1	9.2	1.83	possible fusion - inspect
S03	contig_20	61540	8.1	7000	4.9	9.3	1.91	possible fusion - inspect
S03	contig_03	154738	6.8	44000	9.1	6.4	1.42	flat
S03	contig_04	113231	7.0	98000	7.8	3.7	2.09	possible fusion - inspect
S03	contig_05	47246	6.0	24000	8.4	5.0	1.67	possible fusion - inspect
S03	contig_06	27685	8.4	16000	9.1	12.3	1.34	flat
S03	contig_07	28630	8.4	7000	8.0	12.0	1.51	possible fusion - inspect
S03	contig_08	40857	4.6	23000	3.6	5.3	1.49	flat
S03	contig_09	14633	3.3	0	0.0	0.0	1.00	flat
S04	contig_04	40077	38.3	17000	46.7	32.4	1.44	flat
S05	contig_10	156002	11.2	7000	6.0	11.6	1.93	possible fusion - inspect
S05	contig_19	73402	34.4	46000	34.1	42.7	1.25	flat
S05	contig_07	54959	9.4	35000	12.5	5.2	2.38	possible fusion - inspect
S05	contig_08	46796	58.7	7000	46.7	59.7	1.28	flat
S05	contig_13	39266	11.1	10000	16.5	10.9	1.51	possible fusion - inspect
S05	contig_21	35855	15.8	23000	19.4	13.1	1.48	flat
S05	contig_20	31557	21.5	11000	17.9	22.6	1.27	flat
S05	contig_06	16754	7.5	8000	11.5	9.6	1.20	flat
S06	contig_04	78251	86.6	14000	78.6	87.9	1.12	flat
S06	contig_05	68560	143.6	7000	122.1	146.0	1.20	flat
S06	contig_07	49165	64.3	19000	53.2	69.8	1.31	flat
S06	contig_08	82411	71.5	60000	69.9	93.1	1.33	flat
S06	contig_09	31643	90.1	18000	95.0	88.7	1.07	flat
S08	contig_01	85455	7.6	77000	8.4	1.0	8.30	possible fusion - inspect
S08	contig_10	107973	5.8	75000	6.9	3.4	2.03	possible fusion - inspect
S08	contig_11	102111	5.8	7000	2.9	6.3	2.18	possible fusion - inspect
