# Provenance for the version 2.0 sequences. FASTA headers are kept NCBI-clean;
# everything about how a sequence was produced is recorded here.
sequence	file	length	topology	origin	method	assembler	depth_used	v1_contigs_of_origin	validation
S07_APSE_RHS_v2	results/phage_reconstructions/S07_APSE_RHS_v2.fasta	39306	circular	de novo from S07 reads	competitive read partitioning by parent-diagnostic 31-mers, then de novo assembly of the pile	Flye 2.9.6 --pacbio-hifi --meta	147x	contig_3, contig_4 (both deleted during 2024 curation)	0.00 informative sites/kb; identical sequence obtained from an independent alignment-score partition; att core matches chromosome exactly
S07_APSE_CdtB_v2	results/phage_reconstructions/S07_APSE_CdtB_v2.fasta	38993	circular	de novo from S07 reads	competitive read partitioning by parent-diagnostic 31-mers, then de novo assembly of the pile	Flye 2.9.6 --pacbio-hifi --meta	146x	contig_5, contig_1 (contig_5 delivered as pH101_APSE)	0.00 informative sites/kb (v1 contig_05 gave 6.94/kb); one cdtB toxin and one type-B integrase; att core matches chromosome exactly
S07_v2 contig_02	assemblies_v2/S07_v2.fasta	2144657	linear	2024 chromosome contig_02 with both prophages spliced in	att coordinates from split-read clustering; prophage inserted as the circle opened at its att core, core duplicated to form attL and attR	n/a (splice)	35.6x chromosome	contig_2 + the two reconstructed phages	all four junctions spanned by reads in both orientations; 0.00 informative sites/kb inside both prophages; soft-clipped reads fall from 10,782 to 3,568 genome-wide
S07_v2 contig_07/08/09	assemblies_v2/S07_v2.fasta	75753/31557/35855	circular	unchanged from the 2024 delivery	none	n/a	n/a	contig_07, contig_08, contig_09	byte-identical to v1
S05_APSE_RHS_v2	results/phage_reconstructions/S05_APSE_RHS_v2.fasta	39289	circular	de novo from S05 reads	competitive read partitioning by 31-mer containment across three lineages, then de novo assembly of each pile, iterated to convergence	Flye 2.9.6 --pacbio-hifi --meta	153x	contig_5 (delivered as pH76_APSE)	0.13 informative sites/kb, all in one 115 bp window where hapA is RHS-derived and the two cannot be separated; sequence identical to the delivered contig_05 over 39,286 bp
S05_APSE_CdtB_hapR_v2	results/phage_reconstructions/S05_APSE_CdtB_hapR_v2.fasta	38980	circular	de novo from S05 reads	as above; rotated 6 bp so the att core is contiguous rather than spanning the origin	Flye 2.9.6 --pacbio-hifi --meta	167x	contig_3, contig_4, contig_14 (fragments only; the phage was never assembled in 2024)	0.00 informative sites/kb; one cdtB toxin and one type-B integrase; att core matches the chromosome exactly and is identical to S07's integrase-B core
S05_APSE_CdtB_hapA_v2	results/phage_reconstructions/S05_APSE_CdtB_hapA_v2.fasta	36248	linear	de novo from S05 reads	as above	Flye 2.9.6 --pacbio-hifi --meta	138x	none	0.00 informative sites/kb. Does NOT circularise, and cannot: hapA is a recombinant whose only distinguishing feature is one junction, so reads far from that junction are indistinguishable from a parent and no pile can contain them. Ships as a documented partial reference
S05_v2 contig_02	assemblies_v2/S05_v2.fasta	249175	linear	2024 contig_02 with the hapR prophage spliced in	att coordinates from split-read clustering	n/a (splice)	11x chromosome	contig_02 + S05_APSE_CdtB_hapR_v2	both junctions spanned in both orientations (6/3 and 32/35); 0.00 informative sites/kb inside the prophage
S05_v2 contig_11	assemblies_v2/S05_v2.fasta	850481	linear	2024 contig_11 with the RHS prophage spliced in	as above	n/a (splice)	14x chromosome	contig_11 + S05_APSE_RHS_v2	both junctions spanned in both orientations (3/1 and 279/283); 0.13 informative sites/kb inside the prophage
S05_v2 (dropped)	assemblies_v2/S05_v2.fasta	-	-	removed from the delivery	contig_03, contig_04 and contig_14 are APSE fragments (16,477 + 3,248 + 3,402 bp) that were labelled as Hamiltonella chromosome; they are redundant with the phage references and steal junction reads from the hapR att site. contig_05 is the APSE genome itself, now represented as a prophage within contig_02 and contig_11. contig_15, contig_16 and contig_17 (25,957 bp) are aphid DNA	n/a	-	contig_03, contig_04, contig_05, contig_14, contig_15, contig_16, contig_17	each aligns end-to-end inside one of the three reconstructed phages
S05_APSE_RHS_alt_v2	results/phage_reconstructions/S05_APSE_RHS_alt_v2.fasta	39307	circular	de novo from S05 reads	assembled independently by two disjoint 150x read subsets (replicates 3 and 5 of the replicate test), which agree at 100.00000 % over 39,307 bp	Flye 2.9.6 --pacbio-hifi --meta	138x	none	identical to S05_APSE_RHS_v2 except a 436 bp cassette at 29,702-30,138 immediately upstream of attP, where it carries the alternative allele; 0.13 informative sites/kb, the same residual as the majority version
S01_APSE_v2	results/phage_references/S01_APSE_v2.fasta	39092	circular	de novo or excised from S01	excised from the chromosome at an empirically located att repeat; lineage APSE-RHS-I	n/a	see note	-	-
S02_APSE_v2	results/phage_references/S02_APSE_v2.fasta	40864	circular	de novo or excised from S02	standalone contig from the 2024 curated assembly; lineage APSE-LeucineRich-I	n/a	see note	-	circularity confirmed by 96 reads spanning the join; the assembler had flagged this contig linear
S03_APSE_v2	results/phage_references/S03_APSE_v2.fasta	35455	circular	de novo or excised from S03	standalone contig from the 2024 curated assembly; lineage APSE-CdtB-I	n/a	see note	-	circularity confirmed by 217 spanning reads
S04_APSE_v2	results/phage_references/S04_APSE_v2.fasta	35455	circular	de novo or excised from S04	excised from the chromosome at an empirically located att repeat; lineage APSE-CdtB-I	n/a	see note	-	-
S06_APSE_v2	results/phage_references/S06_APSE_v2.fasta	39093	linear	de novo or excised from S06	excised from the chromosome at an empirically located att repeat; lineage APSE-RHS-I	n/a	see note	-	circular form not observed: 0 reads span the att join, and the phage sits at only 2x the chromosome depth
S08_APSE_v2	results/phage_references/S08_APSE_v2.fasta	37098	circular	de novo or excised from S08	standalone contig from the 2024 curated assembly; lineage APSE-MAC-I	n/a	see note	-	circularity confirmed by 110 reads spanning the join; the assembler had flagged this contig linear
S09_APSE_v2	results/phage_references/S09_APSE_v2.fasta	36922	circular	de novo or excised from S09	standalone contig from the 2024 curated assembly; lineage APSE-Shiga-I	n/a	see note	-	circularity confirmed by 96 spanning reads
S10_APSE_v2	results/phage_references/S10_APSE_v2.fasta	34095	linear	de novo or excised from S10	excised from the chromosome at an empirically located att repeat; lineage APSE-MAC-II	n/a	see note	-	rebuilt de novo from 46 reads at 10x and trimmed to the region supported at >=5x; 5151 bp of lower-coverage sequence removed
S11_APSE_v2	results/phage_references/S11_APSE_v2.fasta	40511	linear	de novo or excised from S11	excised from the chromosome at an empirically located att repeat; lineage APSE-RHS-III	n/a	see note	-	circular form not demonstrated: only 2 reads span the att join
S12_APSE_v2	results/phage_references/S12_APSE_v2.fasta	36171	circular	de novo or excised from S12	excised from the chromosome at an empirically located att repeat; lineage APSE-CdtB-III	n/a	see note	-	-
S13_APSE_v2	results/phage_references/S13_APSE_v2.fasta	35455	circular	de novo or excised from S13	excised from the chromosome at an empirically located att repeat; lineage APSE-CdtB-I	n/a	see note	-	-
S14_APSE_v2	results/phage_references/S14_APSE_v2.fasta	19800	linear	de novo or excised from S14	standalone contig from the 2024 curated assembly; lineage unresolved (MAC)	n/a	see note	-	19,800 bp fragment at 13x; 0 reads span the join so the circular form is not demonstrated; too short to assign to MAC-I or MAC-II
S01_v2	assemblies_v2/S01_v2.fasta	2290146	mixed	2024 curated assembly	headers only: topology corrected from FLYE's own circ call, APSE relabelled from plasmid, descriptors added	n/a	n/a	7 contigs	sequence byte-identical to the 2024 delivery
