sample	contigA	contigB	splitReads	modalPositionA
S01	contig_1	contig_2	814	538000
S01	contig_2	contig_1	811	1390000
S01	contig_1	contig_4	294	538000
S01	contig_4	contig_1	290	31000
S01	contig_2	contig_4	188	1390000
S01	contig_4	contig_2	184	0
S02	contig_11	contig_5	19	0
S02	contig_5	contig_1	19	0
S02	contig_5	contig_11	19	0
S02	contig_1	contig_5	17	0
S02	contig_13	contig_5	8	33000
S02	contig_5	contig_13	8	360000
S02	contig_1	contig_12	7	7000
S02	contig_12	contig_1	7	0
S02	contig_4	contig_5	6	0
S02	contig_5	contig_4	6	60000
S03	contig_21	contig_22	14	37000
S03	contig_22	contig_21	14	15000
S03	contig_3	contig_5	8	42000
S03	contig_5	contig_3	8	22000
S03	contig_16	contig_5	7	101000
S03	contig_5	contig_16	7	9000
S03	contig_1	contig_5	5	83000
S03	contig_5	contig_1	5	22000
S04	contig_2	contig_1	1777	6000
S04	contig_1	contig_2	1769	7000
S04	contig_2	contig_3	247	11000
S04	contig_3	contig_2	237	26000
S04	contig_3	contig_1	27	0
S04	contig_1	contig_3	26	8000
S05	contig_14	contig_5	169	0
S05	contig_5	contig_14	169	15000
S05	contig_5	contig_3	121	0
S05	contig_3	contig_5	120	12000
S05	contig_4	contig_5	119	0
S05	contig_5	contig_4	119	0
S05	contig_3	contig_4	71	13000
S05	contig_4	contig_3	71	0
S05	contig_2	contig_3	27	187000
S05	contig_3	contig_2	27	10000
S05	contig_11	contig_5	21	805000
S05	contig_5	contig_11	21	30000
S05	contig_10	contig_8	10	0
S05	contig_13	contig_8	10	8000
S05	contig_8	contig_10	10	42000
S05	contig_8	contig_13	10	0
S05	contig_14	contig_4	7	0
S05	contig_4	contig_14	7	2000
S05	contig_15	contig_17	6	6000
S05	contig_17	contig_15	6	0
S05	contig_13	contig_9	5	8000
S05	contig_2	contig_21	5	48000
S05	contig_21	contig_2	5	29000
S05	contig_8	contig_9	5	0
S05	contig_9	contig_13	5	0
S05	contig_9	contig_8	5	0
S06	contig_1	contig_2	118	9000
S06	contig_2	contig_1	117	6000
S07	contig_4	contig_5	4287	0
S07	contig_5	contig_4	4287	12000
S07	contig_3	contig_5	1434	0
S07	contig_5	contig_3	1425	33000
S07	contig_1	contig_5	832	0
S07	contig_5	contig_1	813	33000
S07	contig_5	contig_6	740	33000
S07	contig_3	contig_4	356	0
S07	contig_4	contig_3	356	0
S07	contig_2	contig_5	117	757000
S07	contig_5	contig_2	101	33000
S07	contig_2	contig_3	64	757000
S07	contig_3	contig_2	64	1000
S07	contig_2	contig_1	61	1878000
S07	contig_1	contig_2	42	3000
S07	contig_1	contig_3	17	5000
S07	contig_3	contig_1	17	0
S07	contig_1	contig_6	10	0
S07	contig_2	contig_4	9	757000
S07	contig_3	contig_6	9	0
S07	contig_4	contig_2	9	0
S08	contig_26	contig_27	68	130000
S08	contig_27	contig_26	68	31000
S08	contig_17	contig_29	11	5000
S08	contig_29	contig_17	11	0
S08	contig_27	contig_6	6	32000
S08	contig_6	contig_27	6	0
S08	contig_17	contig_26	5	0
S08	contig_26	contig_17	5	81000
S09	contig_22	contig_30	9	4000
S09	contig_30	contig_22	9	1000
S09	contig_30	contig_40	9	1000
S09	contig_40	contig_30	9	40000
S09	contig_11	contig_30	8	31000
S09	contig_30	contig_11	8	1000
S09	contig_10	contig_14	7	0
S09	contig_14	contig_10	7	45000
S09	contig_11	contig_22	6	31000
S09	contig_11	contig_40	6	31000
S09	contig_22	contig_11	6	4000
S09	contig_40	contig_11	6	37000
S09	contig_22	contig_40	5	4000
S09	contig_30	contig_34	5	2000
S09	contig_34	contig_30	5	0
S09	contig_40	contig_22	5	37000
S10	contig_4	contig_6	33	0
S10	contig_6	contig_4	33	34000
S10	contig_2	contig_8	20	269000
S10	contig_8	contig_2	20	49000
S10	contig_5	contig_6	18	400000
S10	contig_6	contig_5	16	0
S10	contig_5	contig_2	5	400000
S11	contig_1	contig_4	200	0
S11	contig_4	contig_1	200	22000
S11	contig_2	contig_4	173	0
S11	contig_4	contig_2	173	0
S12	contig_1	contig_3	837	7000
S12	contig_1	contig_2	755	7000
S12	contig_3	contig_1	129	0
S12	contig_3	contig_2	76	27000
S12	contig_2	contig_1	38	0
S12	contig_2	contig_5	15	388000
S12	contig_5	contig_2	15	0
S13	contig_2	contig_1	918	3000
S13	contig_1	contig_2	898	2000
S13	contig_2	contig_4	305	7000
S13	contig_4	contig_2	291	27000
S13	contig_4	contig_1	163	0
S13	contig_1	contig_4	159	7000
S14	contig_1	contig_6	18	0
S14	contig_6	contig_1	18	137000
S14	contig_1	contig_2	11	1590000
S14	contig_2	contig_1	11	13000
S14	contig_4	contig_7	9	0
S14	contig_7	contig_4	9	0
