sample	contig_a	contig_b	split_reads	median_pos_a	median_pos_b
S02	contig_05	contig_13	16	362147	36978
S02	contig_05	contig_11	10	364427	1145096
S02	contig_01	contig_11	6	7781	138152
S02	contig_05	contig_14	6	30882	27128
S03	contig_01	contig_05	6	83736	9749
S03	contig_05	contig_16	6	9749	101233
S03	contig_03	contig_05	4	42805	9749
S05	contig_02	contig_11	52	214048	840745
S05	contig_02	contig_21	8	48014	30324
S05	contig_01	contig_02	4	270542	234453
S06	contig_01	contig_05	4	1247282	38433
S08	contig_26	contig_27	136	130461	31158
S08	contig_17	contig_26	10	2	81005
S08	contig_14	contig_31	6	5061	50423
S08	contig_23	contig_24	4	180666	54010
S11	contig_01	contig_04	88	1294	23052
S09	contig_30	contig_40	12	2131	40159
S09	contig_11	contig_40	9	31119	37310
S09	contig_20	contig_35	7	10113	4228
S09	contig_10	contig_14	6	5407	64607
S09	contig_12	contig_37	6	9487	21274
S09	contig_22	contig_40	6	4905	37310
S09	contig_11	contig_34	5	31119	500
S09	contig_34	contig_40	5	1208	40159
S09	contig_11	contig_14	4	3242	52101
S09	contig_14	contig_34	4	2770	500
S09	contig_22	contig_30	4	4905	1777
S09	contig_03	contig_35	4	15132	4450
S09	contig_01	contig_27	3	25912	13984
S09	contig_15	contig_27	3	2513	19965
S09	contig_15	contig_40	3	3042	37113
S09	contig_30	contig_34	3	3837	500
S10	contig_01	contig_08	40	2042682	48774
S10	contig_01	contig_04	32	1733181	8544
S14	contig_01	contig_02	22	1590246	13495
