assembly	win_start	call
r1_RHS	0	CdtB
r1_RHS	1000	CdtB
r1_RHS	2000	CdtB
r1_RHS	3000	neither
r1_RHS	4000	CdtB
r1_RHS	5000	CdtB
r1_RHS	6000	CdtB
r1_RHS	7000	CdtB
r1_RHS	8000	CdtB
r1_RHS	9000	CdtB
r1_RHS	10000	CdtB
r1_RHS	11000	CdtB
r1_RHS	12000	CdtB
r1_RHS	13000	same
r1_RHS	14000	same
r1_RHS	15000	same
r1_RHS	16000	CdtB
r1_RHS	17000	CdtB
r1_RHS	18000	CdtB
r1_RHS	19000	CdtB
r1_RHS	20000	RHS
r1_RHS	21000	RHS
r1_RHS	22000	same
r1_RHS	23000	same
r1_RHS	24000	same
r1_RHS	25000	same
r1_RHS	26000	RHS
r1_RHS	27000	RHS
r1_RHS	28000	RHS
r1_RHS	29000	RHS
r1_RHS	30000	RHS
r1_RHS	31000	RHS
r1_RHS	32000	RHS
r1_RHS	33000	RHS
r1_RHS	34000	RHS
r1_RHS	35000	same
r1_RHS	36000	same
r1_RHS	37000	same
r1_RHS	38000	same
r1_RHS	39000	same
r1_RHS	40000	same
r1_RHS	41000	same
r1_RHS	42000	RHS
r1_RHS	43000	same
r1_RHS	44000	RHS
r1_RHS	45000	RHS
r1_RHS	46000	RHS
r1_RHS	47000	same
r1_RHS	48000	RHS
r1_RHS	49000	RHS
r1_RHS	50000	RHS
r1_RHS	51000	RHS
r1_RHS	52000	same
r1_RHS	53000	same
r1_RHS	54000	same
r1_RHS	55000	same
r1_CdtB	0	RHS
r1_CdtB	1000	RHS
r1_CdtB	2000	RHS
r1_CdtB	3000	same
r1_CdtB	4000	same
r1_CdtB	5000	same
r1_CdtB	6000	same
r1_CdtB	7000	same
r1_CdtB	8000	same
r1_CdtB	9000	same
r1_CdtB	10000	CdtB
r1_CdtB	11000	CdtB
r1_CdtB	12000	CdtB
r1_CdtB	13000	CdtB
r1_CdtB	14000	same
r1_CdtB	15000	same
r1_CdtB	16000	same
r1_CdtB	17000	same
r1_CdtB	18000	same
r1_CdtB	19000	same
r1_CdtB	20000	same
r1_CdtB	21000	CdtB
r1_CdtB	22000	same
r1_CdtB	23000	CdtB
r1_CdtB	24000	CdtB
r1_CdtB	25000	neither
r1_CdtB	26000	RHS
r1_CdtB	27000	RHS
r1_CdtB	28000	RHS
r1_CdtB	29000	RHS
r1_CdtB	30000	RHS
r1_CdtB	31000	RHS
r1_CdtB	32000	same
r1_CdtB	33000	same
r1_CdtB	34000	same
r2_RHS	0	neither
r2_RHS	1000	CdtB
r2_RHS	2000	neither
r2_RHS	3000	CdtB
r2_RHS	4000	CdtB
r2_RHS	5000	neither
r2_RHS	6000	CdtB
r2_RHS	7000	neither
r2_RHS	8000	neither
r2_RHS	9000	same
r2_RHS	10000	neither
r2_RHS	11000	same
r2_RHS	12000	neither
r2_RHS	13000	neither
r2_RHS	14000	neither
r2_RHS	15000	same
r2_RHS	16000	same
r2_RHS	17000	CdtB
r2_RHS	18000	neither
r2_RHS	19000	neither
r2_RHS	20000	neither
r2_RHS	21000	same
r2_RHS	22000	CdtB
r2_RHS	23000	CdtB
r2_RHS	24000	neither
r2_RHS	25000	CdtB
r2_RHS	26000	same
r2_RHS	27000	CdtB
r2_RHS	28000	neither
r2_RHS	29000	same
r2_RHS	30000	neither
r2_RHS	31000	neither
r2_RHS	32000	same
r2_RHS	33000	same
r2_RHS	34000	same
r2_RHS	35000	neither
r2_RHS	36000	neither
r2_RHS	37000	CdtB
r2_RHS	38000	CdtB
r2_RHS	39000	neither
r2_RHS	40000	CdtB
r2_RHS	41000	CdtB
r2_RHS	42000	neither
r2_RHS	43000	CdtB
r2_RHS	44000	neither
r2_RHS	45000	CdtB
r2_RHS	46000	neither
