genome	S05_RHS	S05_hapR	S05_hapA	S07_RHS	S07_CdtB	S02_APSE	S03_APSE	S08_APSE	S09_APSE	S14_APSE	S01_APSE	S04_APSE	S06_APSE	S10_APSE	S11_APSE	S12_APSE	S13_APSE	APSE-1_ref
S05_RHS	1.0000	0.6457	0.8724	0.9832	0.6455	0.5482	0.6218	0.5969	0.6183	0.5668	0.7019	0.6214	0.7015	0.6687	0.6285	0.6698	0.6214	0.6335
S05_hapR	0.6457	1.0000	0.8236	0.6365	0.9987	0.5107	0.5417	0.5266	0.5594	0.4416	0.5179	0.5412	0.5179	0.5198	0.4663	0.6717	0.5412	0.5376
S05_hapA	0.8724	0.8236	1.0000	0.8576	0.8236	0.6008	0.6188	0.6110	0.6355	0.5683	0.6737	0.6183	0.6734	0.6705	0.6302	0.7077	0.6183	0.6250
S07_RHS	0.9832	0.6365	0.8576	1.0000	0.6363	0.5550	0.6085	0.5839	0.6053	0.5666	0.6887	0.6080	0.6883	0.6684	0.6327	0.6779	0.6080	0.6208
S07_CdtB	0.6455	0.9987	0.8236	0.6363	1.0000	0.5097	0.5417	0.5266	0.5594	0.4416	0.5177	0.5412	0.5177	0.5198	0.4663	0.6717	0.5412	0.5376
S02_APSE	0.5482	0.5107	0.6008	0.5550	0.5097	1.0000	0.5966	0.5703	0.5826	0.5246	0.5448	0.5962	0.5449	0.6157	0.6113	0.6154	0.5962	0.6266
S03_APSE	0.6218	0.5417	0.6188	0.6085	0.5417	0.5966	1.0000	0.6125	0.6321	0.4928	0.6350	1.0000	0.6351	0.5816	0.7417	0.5936	1.0000	0.6512
S08_APSE	0.5969	0.5266	0.6110	0.5839	0.5266	0.5703	0.6125	1.0000	0.7388	0.9793	0.6523	0.6122	0.6525	0.9774	0.5548	0.6115	0.6122	0.5951
S09_APSE	0.6183	0.5594	0.6355	0.6053	0.5594	0.5826	0.6321	0.7388	1.0000	0.7018	0.6489	0.6317	0.6489	0.8276	0.5807	0.6576	0.6317	0.6177
S14_APSE	0.5668	0.4416	0.5683	0.5666	0.4416	0.5246	0.4928	0.9793	0.7018	1.0000	0.6312	0.4928	0.6313	0.9966	0.5311	0.5733	0.4928	0.5318
S01_APSE	0.7019	0.5179	0.6737	0.6887	0.5177	0.5448	0.6350	0.6523	0.6489	0.6312	1.0000	0.6346	0.9984	0.7441	0.6052	0.5822	0.6346	0.6135
S04_APSE	0.6214	0.5412	0.6183	0.6080	0.5412	0.5962	1.0000	0.6122	0.6317	0.4928	0.6346	1.0000	0.6346	0.5816	0.7417	0.5932	1.0000	0.6508
S06_APSE	0.7015	0.5179	0.6734	0.6883	0.5177	0.5449	0.6351	0.6525	0.6489	0.6313	0.9984	0.6346	1.0000	0.7441	0.6053	0.5818	0.6346	0.6129
S10_APSE	0.6687	0.5198	0.6705	0.6684	0.5198	0.6157	0.5816	0.9774	0.8276	0.9966	0.7441	0.5816	0.7441	1.0000	0.5764	0.6763	0.5816	0.6293
S11_APSE	0.6285	0.4663	0.6302	0.6327	0.4663	0.6113	0.7417	0.5548	0.5807	0.5311	0.6052	0.7417	0.6053	0.5764	1.0000	0.6435	0.7417	0.6337
S12_APSE	0.6698	0.6717	0.7077	0.6779	0.6717	0.6154	0.5936	0.6115	0.6576	0.5733	0.5822	0.5932	0.5818	0.6763	0.6435	1.0000	0.5932	0.6335
S13_APSE	0.6214	0.5412	0.6183	0.6080	0.5412	0.5962	1.0000	0.6122	0.6317	0.4928	0.6346	1.0000	0.6346	0.5816	0.7417	0.5932	1.0000	0.6508
APSE-1_ref	0.6335	0.5376	0.6250	0.6208	0.5376	0.6266	0.6512	0.5951	0.6177	0.5318	0.6135	0.6508	0.6129	0.6293	0.6337	0.6335	0.6508	1.0000
