sample	contig	length	class	meanDepth	sitesTested	discordantSites	per_kb	medianMAF	siteSpan	dispersal	blocks	pattern
S01	contig_4	39144	APSE	911.1	39144	0	0.00	0.00	0	0.000	0	clean
S01	contig_2	1400900	chromosome	32.6	1387837	0	0.00	0.00	0	0.000	0	clean
S01	contig_1	548450	chromosome	31.7	543803	91	0.17	0.15	2381	0.004	1	clustered
S01	contig_6	82412	other	23.9	82010	0	0.00	0.00	0	0.000	0	clean
S01	contig_8	78251	other	19.0	78242	0	0.00	0.00	0	0.000	0	clean
S01	contig_3	68560	other	46.5	68560	0	0.00	0.00	0	0.000	0	clean
S01	contig_9	49165	other	24.7	49165	0	0.00	0.00	0	0.000	0	clean
S01	contig_7	31643	other	35.4	31643	0	0.00	0.00	0	0.000	0	clean
S01	contig_5	12032	other	32.8	12032	0	0.00	0.00	0	0.000	0	clean
S02	contig_13	40864	APSE	167.4	40864	0	0.00	0.00	0	0.000	0	clean
S02	contig_11	1150584	chromosome	15.4	1064138	1	0.00	0.20	0	0.000	1	clustered
S02	contig_5	366167	chromosome	17.1	352235	13	0.04	0.33	59489	0.162	2	clustered
S02	contig_1	164507	chromosome	14.5	144048	34	0.24	0.43	2754	0.017	1	clustered
S02	contig_10	54237	other	14.0	46461	0	0.00	0.00	0	0.000	0	clean
S02	contig_7	43999	other	9.8	30140	0	0.00	0.00	0	0.000	0	clean
S02	contig_8	39268	other	9.2	18592	0	0.00	0.00	0	0.000	0	clean
S02	contig_14	34751	other	13.1	27224	0	0.00	0.00	0	0.000	0	clean
S02	contig_12	27144	other	7.6	9898	0	0.00	0.00	0	0.000	0	clean
S02	contig_4	26121	other	9.4	14652	0	0.00	0.00	0	0.000	0	clean
S02	contig_9	23813	other	5.4	1765	0	0.00	0.00	0	0.000	0	clean
S02	contig_3	19806	other	9.7	9438	0	0.00	0.00	0	0.000	0	clean
S02	contig_2	17629	other	5.9	4648	0	0.00	0.00	0	0.000	0	clean
S02	contig_6	12126	other	26.6	11955	1291	107.99	0.27	11957	0.986	1	DISPERSED
S03	contig_22	35455	APSE	375.8	35455	0	0.00	0.00	0	0.000	0	clean
S03	contig_16	534713	chromosome	8.6	195348	0	0.00	0.00	0	0.000	0	clean
S03	contig_18	259100	chromosome	8.4	88815	0	0.00	0.00	0	0.000	0	clean
S03	contig_21	187847	chromosome	8.4	59613	2	0.03	0.45	5	0.000	1	clustered
S03	contig_19	179609	chromosome	7.0	24719	0	0.00	0.00	0	0.000	0	clean
S03	contig_3	154738	chromosome	6.8	19961	114	5.71	0.36	1028	0.007	1	clustered
S03	contig_4	113231	chromosome	7.0	23755	0	0.00	0.00	0	0.000	0	clean
S03	contig_1	96454	other	6.8	12649	0	0.00	0.00	0	0.000	0	clean
S03	contig_17	64754	other	8.1	21788	0	0.00	0.00	0	0.000	0	clean
S03	contig_20	61540	other	8.0	18616	0	0.00	0.00	0	0.000	0	clean
S03	contig_2	58777	other	8.0	19942	0	0.00	0.00	0	0.000	0	clean
S03	contig_5	47246	other	5.9	7121	14	1.97	0.27	12344	0.261	1	clustered
S03	contig_8	40857	other	4.5	0	0	0.00	0.00	0	0.000	0	clean
S03	contig_7	28630	other	8.4	13614	0	0.00	0.00	0	0.000	0	clean
S03	contig_6	27685	other	8.3	9995	0	0.00	0.00	0	0.000	0	clean
S03	contig_11	18871	other	4.7	0	0	0.00	0.00	0	0.000	0	clean
S03	contig_14	16656	other	4.1	0	0	0.00	0.00	0	0.000	0	clean
S03	contig_9	14633	other	3.3	0	0	0.00	0.00	0	0.000	0	clean
S03	contig_12	11335	other	11.7	7547	401	53.13	0.31	8097	0.714	1	DISPERSED
S03	contig_10	11184	other	14.6	10039	318	31.68	0.29	9820	0.878	1	DISPERSED
S03	contig_15	10603	other	3.2	0	0	0.00	0.00	0	0.000	0	clean
S03	contig_13	10082	other	8.3	4898	45	9.19	0.36	4357	0.432	1	clustered
S04	contig_3	35455	APSE	1394.3	35455	0	0.00	0.00	0	0.000	0	clean
S04	contig_2	1930647	chromosome	63.9	1926302	0	0.00	0.00	0	0.000	0	clean
S04	contig_1	166856	chromosome	59.9	153900	30	0.19	0.23	66	0.000	1	clustered
S04	contig_4	40077	other	37.9	40077	0	0.00	0.00	0	0.000	0	clean
S05	contig_5	39289	APSE	1079.7	39289	5	0.13	0.26	114	0.003	1	clustered
S05	contig_3	16477	APSE	96.1	16477	0	0.00	0.00	0	0.000	0	clean
S05	contig_4	3248	APSE	94.3	3248	0	0.00	0.00	0	0.000	0	clean
